iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c,reward
0,0,0,0,2,1,0,0,0,1,0,-406
1000,0,1,0,2,1,0,1,0,0,0,-392
2000,1,0,0,1,2,1,0,0,3,0,-334
3000,2,2,0,1,2,1,2,0,1,2,-340
4000,0,6,0,2,1,1,1,0,0,0,-335
5000,1,2,1,0,3,0,4,1,1,1,-336
6000,1,5,1,2,1,2,3,0,2,0,-345
7000,2,2,0,0,0,1,0,1,3,0,-398
8000,0,4,3,0,1,1,1,1,2,0,-392
9000,0,0,1,1,3,0,0,0,3,0,-321
10000,2,3,0,1,1,0,3,0,1,0,-396
11000,0,4,2,1,1,0,1,1,1,0,-370
12000,1,2,0,1,1,1,2,1,1,2,-100351
13000,0,3,0,1,2,1,6,1,2,1,-342
14000,0,5,0,3,1,0,0,1,2,0,-380
15000,1,4,2,1,2,0,3,1,1,0,-314
16000,3,2,0,0,4,0,4,2,0,2,-328
17000,1,1,0,1,4,0,4,1,0,0,-331
18000,0,2,1,2,2,1,3,1,2,0,-315
19000,0,5,0,1,1,3,8,2,0,1,-302
20000,0,5,2,0,1,0,3,2,1,0,-364
21000,1,4,0,0,3,3,7,1,0,0,-200255
22000,0,5,1,0,2,2,5,2,1,1,-287
23000,2,0,0,1,3,2,2,2,0,1,-276
24000,0,3,0,0,9,0,3,1,0,0,-191
25000,2,2,0,0,7,1,2,0,0,0,-237
26000,0,2,0,0,3,1,0,0,0,1,-100322
27000,1,3,0,0,3,0,1,2,0,0,-317
28000,5,4,5,1,1,1,13,2,2,1,-432
29000,1,7,2,2,2,1,6,3,1,0,-356
30000,1,2,3,1,0,0,3,0,2,0,-379
31000,1,4,2,0,1,0,3,2,3,0,-378
32000,1,9,3,2,0,0,9,2,3,0,-405
33000,2,8,7,2,0,0,9,4,3,0,-433
34000,0,6,2,0,3,0,3,1,1,1,-322
35000,0,6,0,2,4,4,6,0,1,0,-215
36000,0,8,0,2,9,0,12,5,0,2,-273
37000,0,9,0,2,4,1,5,2,0,0,-293
38000,0,5,0,0,5,1,2,0,0,0,-293
39000,0,6,5,0,1,0,5,1,2,0,-341
40000,1,5,0,0,3,0,11,1,0,0,-293
41000,1,5,0,1,5,2,7,1,0,1,-303
42000,2,1,0,4,7,1,6,1,0,0,-227
43000,0,7,3,4,7,1,6,2,1,0,-262
44000,1,7,4,3,4,2,8,4,1,0,-261
45000,0,7,0,1,6,3,11,5,0,0,-205
46000,1,13,0,3,6,1,15,4,1,1,-274
47000,0,5,0,2,5,1,7,3,0,0,-217
48000,0,11,0,1,5,1,12,1,0,0,-214
49000,0,10,4,3,3,0,10,4,1,0,-268
50000,2,9,0,0,4,2,8,8,0,0,-233
51000,0,6,0,2,4,1,9,2,0,0,-295
52000,1,9,0,0,7,0,4,1,0,0,-238
53000,3,8,0,4,7,2,8,5,0,0,-205
54000,1,14,0,1,12,1,10,3,0,1,-208
55000,3,19,3,4,3,0,18,5,1,0,-320
56000,2,7,0,3,8,2,14,3,1,1,-269
57000,2,15,1,2,3,1,9,7,2,0,-278
58000,0,13,1,2,7,0,12,5,1,0,-213
59000,0,9,2,4,4,0,10,2,1,0,-263
60000,1,12,6,1,3,0,6,3,2,0,-351
61000,0,8,0,1,13,0,4,0,0,0,-95
62000,4,9,0,2,7,0,9,5,0,0,-228
63000,1,6,0,1,8,1,7,1,0,0,-231
64000,1,8,4,1,4,1,9,0,1,1,-342
65000,1,17,0,2,4,3,3,7,0,0,-239
66000,1,10,4,2,5,0,18,4,2,0,-332
67000,0,8,0,1,8,1,5,1,0,0,-166
68000,2,12,5,2,4,0,14,2,1,0,-286
69000,2,8,4,2,3,0,8,6,1,0,-346
70000,3,7,0,0,5,1,7,1,0,1,-257
71000,1,5,5,2,5,0,8,1,2,0,-328
72000,1,13,0,0,6,3,5,3,1,0,-224
73000,0,7,0,1,5,0,8,2,0,1,-306
74000,2,6,0,1,9,1,8,2,0,0,-176
75000,1,12,0,1,8,2,10,4,0,0,-216
76000,2,11,0,1,6,1,11,3,0,1,-219
77000,2,6,0,3,6,0,7,4,0,1,-277
78000,2,18,0,5,5,1,7,3,0,0,-228
79000,1,9,7,0,3,0,7,1,1,0,-100321
80000,2,9,0,1,8,0,13,0,0,0,-100188
81000,1,8,0,3,7,0,5,1,1,0,-231
82000,4,7,0,0,4,2,11,5,0,0,-253
83000,0,6,0,1,8,1,5,3,0,0,-187
84000,2,9,0,1,10,0,7,0,0,0,-180
85000,0,7,1,1,3,2,13,4,1,0,-273
86000,1,13,0,0,10,0,11,1,0,1,-225
87000,2,11,0,2,9,1,16,4,0,0,-227
88000,3,8,7,0,1,0,4,2,2,0,-413
89000,1,9,0,1,5,1,5,3,1,0,-278
90000,1,6,2,1,6,1,10,6,1,0,-240
91000,3,15,0,3,7,2,17,4,0,0,-168
92000,1,21,0,2,3,1,12,1,0,2,-306
93000,2,10,0,3,9,1,8,1,1,2,-264
94000,2,8,2,4,5,2,11,3,1,0,-246
95000,1,5,7,1,4,1,17,4,1,0,-343
96000,0,13,5,1,2,3,2,1,2,0,-308
97000,0,12,0,1,5,1,4,3,0,0,-271
98000,3,9,0,3,7,1,10,2,0,0,-198
99000,7,11,0,2,3,2,6,3,1,0,-311
